contest	task	problem_url	editorial_url	reusable_parts	recipe	problem_specific_core	tool	current	missing	pitfalls	reviewer	reviewed_on	status	notes
abc231	g	https://atcoder.jp/contests/abc231/tasks/abc231_g	https://atcoder.jp/contests/abc231/editorial										pending	
abc231	h	https://atcoder.jp/contests/abc231/tasks/abc231_h	https://atcoder.jp/contests/abc231/editorial										pending	
abc232	g	https://atcoder.jp/contests/abc232/tasks/abc232_g	https://atcoder.jp/contests/abc232/editorial										pending	
abc232	h	https://atcoder.jp/contests/abc232/tasks/abc232_h	https://atcoder.jp/contests/abc232/editorial										pending	
abc233	g	https://atcoder.jp/contests/abc233/tasks/abc233_g	https://atcoder.jp/contests/abc233/editorial										pending	
abc233	h	https://atcoder.jp/contests/abc233/tasks/abc233_h	https://atcoder.jp/contests/abc233/editorial										pending	
abc234	g	https://atcoder.jp/contests/abc234/tasks/abc234_g	https://atcoder.jp/contests/abc234/editorial										pending	
abc234	h	https://atcoder.jp/contests/abc234/tasks/abc234_h	https://atcoder.jp/contests/abc234/editorial										pending	
abc235	g	https://atcoder.jp/contests/abc235/tasks/abc235_g	https://atcoder.jp/contests/abc235/editorial										pending	
abc235	h	https://atcoder.jp/contests/abc235/tasks/abc235_h	https://atcoder.jp/contests/abc235/editorial										pending	
abc236	g	https://atcoder.jp/contests/abc236/tasks/abc236_g	https://atcoder.jp/contests/abc236/editorial										pending	
abc236	h	https://atcoder.jp/contests/abc236/tasks/abc236_h	https://atcoder.jp/contests/abc236/editorial										pending	
abc237	g	https://atcoder.jp/contests/abc237/tasks/abc237_g	https://atcoder.jp/contests/abc237/editorial										pending	
abc237	h	https://atcoder.jp/contests/abc237/tasks/abc237_h	https://atcoder.jp/contests/abc237/editorial										pending	
abc238	g	https://atcoder.jp/contests/abc238/tasks/abc238_g	https://atcoder.jp/contests/abc238/editorial										pending	
abc238	h	https://atcoder.jp/contests/abc238/tasks/abc238_h	https://atcoder.jp/contests/abc238/editorial										pending	
abc239	g	https://atcoder.jp/contests/abc239/tasks/abc239_g	https://atcoder.jp/contests/abc239/editorial										pending	
abc239	h	https://atcoder.jp/contests/abc239/tasks/abc239_h	https://atcoder.jp/contests/abc239/editorial										pending	
abc240	g	https://atcoder.jp/contests/abc240/tasks/abc240_g	https://atcoder.jp/contests/abc240/editorial										pending	
abc240	h	https://atcoder.jp/contests/abc240/tasks/abc240_h	https://atcoder.jp/contests/abc240/editorial										pending	
abc241	g	https://atcoder.jp/contests/abc241/tasks/abc241_g	https://atcoder.jp/contests/abc241/editorial										pending	
abc241	h	https://atcoder.jp/contests/abc241/tasks/abc241_h	https://atcoder.jp/contests/abc241/editorial										pending	
abc242	g	https://atcoder.jp/contests/abc242/tasks/abc242_g	https://atcoder.jp/contests/abc242/editorial										pending	
abc242	h	https://atcoder.jp/contests/abc242/tasks/abc242_h	https://atcoder.jp/contests/abc242/editorial										pending	
abc243	g	https://atcoder.jp/contests/abc243/tasks/abc243_g	https://atcoder.jp/contests/abc243/editorial										pending	
abc243	h	https://atcoder.jp/contests/abc243/tasks/abc243_h	https://atcoder.jp/contests/abc243/editorial										pending	
abc244	g	https://atcoder.jp/contests/abc244/tasks/abc244_g	https://atcoder.jp/contests/abc244/editorial										pending	
abc244	h	https://atcoder.jp/contests/abc244/tasks/abc244_h	https://atcoder.jp/contests/abc244/editorial										pending	
abc245	g	https://atcoder.jp/contests/abc245/tasks/abc245_g	https://atcoder.jp/contests/abc245/editorial										pending	
abc245	h	https://atcoder.jp/contests/abc245/tasks/abc245_h	https://atcoder.jp/contests/abc245/editorial										pending	
abc246	g	https://atcoder.jp/contests/abc246/tasks/abc246_g	https://atcoder.jp/contests/abc246/editorial										pending	
abc246	h	https://atcoder.jp/contests/abc246/tasks/abc246_h	https://atcoder.jp/contests/abc246/editorial										pending	
abc247	g	https://atcoder.jp/contests/abc247/tasks/abc247_g	https://atcoder.jp/contests/abc247/editorial										pending	
abc247	h	https://atcoder.jp/contests/abc247/tasks/abc247_h	https://atcoder.jp/contests/abc247/editorial										pending	
abc248	g	https://atcoder.jp/contests/abc248/tasks/abc248_g	https://atcoder.jp/contests/abc248/editorial										pending	
abc248	h	https://atcoder.jp/contests/abc248/tasks/abc248_h	https://atcoder.jp/contests/abc248/editorial										pending	
abc249	g	https://atcoder.jp/contests/abc249/tasks/abc249_g	https://atcoder.jp/contests/abc249/editorial										pending	
abc249	h	https://atcoder.jp/contests/abc249/tasks/abc249_h	https://atcoder.jp/contests/abc249/editorial										pending	
abc250	g	https://atcoder.jp/contests/abc250/tasks/abc250_g	https://atcoder.jp/contests/abc250/editorial										pending	
abc250	h	https://atcoder.jp/contests/abc250/tasks/abc250_h	https://atcoder.jp/contests/abc250/editorial										pending	
abc251	g	https://atcoder.jp/contests/abc251/tasks/abc251_g	https://atcoder.jp/contests/abc251/editorial										pending	
abc251	h	https://atcoder.jp/contests/abc251/tasks/abc251_h	https://atcoder.jp/contests/abc251/editorial/3995	RLE; binomial coefficients modulo prime; Frobenius skip	隣接和縮約を(1+x)の冪とみなし、法pでp冪距離の二項和skipへ分解する	none	math/binomialsequence.hpp adjacent_sum_reduce_rle	C++23 sum of run counts over skips	none	法は素数; run長64 bit; 隣接同値runの統合; N-Kのp進分解; 出力長K	Codex	2026-07-22	reviewed	n<=40で5000 randomを一段ずつの愚直縮約と比較、公式sample 3件一致
abc252	g	https://atcoder.jp/contests/abc252/tasks/abc252_g	https://atcoder.jp/contests/abc252/editorial/4010	interval DP; rooted tree preorder; sorted children	行きがけ順の連続区間を部分木とみなし、根の最後の子部分木で分割する	none	tree/preorder.hpp count_sorted_child_preorder_trees	C++23 O(N^3) time O(N^2) space	none	labelは相異なる; 子の順序はlabel昇順; 根は列の先頭; N=500	Codex	2026-07-22	reviewed	n<=8の親配列全列挙とrandom順列を比較、公式sample 2件一致
abc252	h	https://atcoder.jp/contests/abc252/tasks/abc252_h	https://atcoder.jp/contests/abc252/editorial/4006	meet-in-the-middle; binary trie; kth cross XOR	各色から一つ選ぶ組合せを積が均衡する二群へ分け、二列間XORを上位bitから順位選択する	none	algorithm/groupxor.hpp kth_largest_group_xor; structure/xortrie.hpp kth_largest_cross_xor	C++23 O(2^(g/2)+(L+R)logV) time	none	同値も別の選び方として数える; Kは1-indexed; 60 bit; グループ積のoverflow	Codex	2026-07-22	reviewed	公式sample 3件一致、small randomを全組合せ列挙と比較、最大積相当random 60bitで0.15秒・33MB
abc253	g	https://atcoder.jp/contests/abc253/tasks/abc253_g	https://atcoder.jp/contests/abc253/editorial										pending	
abc253	h	https://atcoder.jp/contests/abc253/tasks/abc253_h	https://atcoder.jp/contests/abc253/editorial/4023	weighted spanning forest by edge count; matrix tree theorem; set partition DP	各頂点subsetの全域木重みを行列式で求め、最小頂点を含む成分を選ぶ集合分割DPで森を辺数別に数える	none	graph/spanningforest.hpp spanning_forest_counts	C++23 O(2^N N^3+3^N N) time O(2^N N) space	none	平行辺の重み; 孤立頂点; 0辺の森; K!による順序付け; M^Kでの確率化; N=14	Codex	2026-07-22	reviewed	n<=6で3000 random weighted graphを全辺subset列挙と比較、公式sample 2件一致、N=14で0.15秒・5MB
abc254	g	https://atcoder.jp/contests/abc254/tasks/abc254_g	https://atcoder.jp/contests/abc254/editorial										pending	
abc254	h	https://atcoder.jp/contests/abc254/tasks/abc254_h	https://atcoder.jp/contests/abc254/editorial/4053	binary prefix trie; multiset matching; restricted upward transport	深いprefixから左右要素を対応付け、A余剰は常に親へ、B余剰は末尾0の場合だけ親へ送る	none	algorithm/multisettransform.hpp minimum_double_halve_multiset_operations	C++23 O(N log Amax) time and space	none	0の空bit列; 重複値; 要素数不一致; B末尾1の移動禁止; 最小操作回数; N=100000	Codex	2026-07-22	reviewed	n<=7で5000 randomを全permutation最小費用matchingと比較、公式sample 2件一致。N=100000同値multisetで0.33秒70MB
abc255	g	https://atcoder.jp/contests/abc255/tasks/abc255_g	https://atcoder.jp/contests/abc255/editorial										pending	
abc255	h	https://atcoder.jp/contests/abc255/tasks/abc255_h	https://atcoder.jp/contests/abc255/editorial/4115	piecewise-constant interval map; range assignment; removed segment fold	最終収穫日が同じ極大区間をmapで持ち、代入時に消える区間片の木番号和と経過日数を集計する	none	structure/intervalmap.hpp intervalmap	C++23 O(Q log Q) total time O(Q) space	none	N=1e18; R+1; 半開区間; 等差数列和; 同値隣接区間の併合; mod変換前のoverflow	Codex	2026-07-18	reviewed	40以下1000 trial各300 random assignを愚直配列と比較、公式sample 2件一致。20万区間生成後の全域代入で0.29秒38MB
abc256	g	https://atcoder.jp/contests/abc256/tasks/abc256_g	https://atcoder.jp/contests/abc256/editorial										pending	
abc256	h	https://atcoder.jp/contests/abc256/tasks/abc256_h	https://atcoder.jp/contests/ABC256/tasks/abc256_h/editorial	range floor division; range assignment; range sum; segment tree beats	区間最小値と最大値の商または減少量が一致すれば一括更新し、それ以外だけ子へ降りる	none	utility/presetsegtree.hpp range_divide_set_range_sum	C++23 amortized O(log N log V) divide, O(log N) set/sum	none	非負整数限定; divisor>=2; 空区間; 全区間代入後の除算; lazy setとaddの合成; N=500000	Codex	2026-07-18	reviewed	24要素以下各800 random operationを愚直配列と比較、公式sample 2件一致。N=500000,Q=100000混合で0.36秒116MB
abc257	g	https://atcoder.jp/contests/abc257/tasks/abc257_g	https://atcoder.jp/contests/abc257/editorial										pending	
abc257	h	https://atcoder.jp/contests/abc257/tasks/abc257_h	https://atcoder.jp/contests/abc257/editorial/4244	fixed-cardinality quadratic selection; upper convex hull; kinetic order sweep	各方向cに対してcx_i+y_i上位K点を取り、二直線の交差順に選択集合を更新する	none	algorithm/quadraticselection.hpp maximum_quadratic_k_selection	C++23 O(N^2 log N) time O(N^2) space	none	K=0,N; 重複点; 同一交差時刻; 負座標; __int128目的値; 期待値の36倍整数化	Codex	2026-07-18	reviewed	n<=11で5000 randomを全subset比較、公式sample 2件一致。N=1000,K=500で0.23秒26MB
abc258	g	https://atcoder.jp/contests/abc258/tasks/abc258_g	https://atcoder.jp/contests/abc258/editorial										pending	
abc258	h	https://atcoder.jp/contests/abc258/tasks/abc258_h	https://atcoder.jp/contests/abc258/editorial	sparse exceptional times; homogeneous linear transition; matrix-vector binary lifting; forbidden prefix sums	通常時刻は固定三次元線形遷移、禁止累積和の時刻だけf成分を0にする例外行列へ置き換える	none	math/matrix.hpp sparse_matrix_transitions	C++23 O(d^3 log S+N d^2 log S) time with d=3	none	時刻0の初期状態; 禁止値の狭義昇順; S自体は禁止されない; 奇数step; 連続禁止時刻; S=1e18	Codex	2026-07-18	reviewed	次元5・時刻30以下2000 randomをstep-by-step比較、公式sample 3件一致。N=100000,S=1e18,全gap大で0.19秒4.2MB
abc259	g	https://atcoder.jp/contests/abc259/tasks/abc259_g	https://atcoder.jp/contests/abc259/editorial										pending	
abc259	h	https://atcoder.jp/contests/abc259/tasks/abc259_h	https://atcoder.jp/contests/ABC259/editorial/4269	grouped monotone grid paths; frequency square-root decomposition; binomial paths; grid DP	少数出現labelは全点対の二項係数、多数出現labelは全盤面DPに切り替えて同label端点pathを数える	none	dp/gridpath.hpp count_grouped_monotone_grid_paths	C++23 O(N^3) time O(N^2) space on an N*N fully grouped grid	none	同一点path; 到達不能な点順序; label全相異; label全同一; 閾値等号; 0-index座標; mod二項係数	Codex	2026-07-18	reviewed	6x6以下3000 randomを始点別grid DPと比較、公式sample一致。400x400・400 group各400点で0.36秒9.5MB
abc260	g	https://atcoder.jp/contests/abc260/tasks/abc260_g	https://atcoder.jp/contests/abc260/editorial										pending	
abc260	h	https://atcoder.jp/contests/abc260/tasks/abc260_h	https://atcoder.jp/contests/abc260/editorial/4434	exponential generating function; inclusion-exclusion; labeled color permutation; weighted power sums	色別block数のEGF積から隣接同色数を包除反転し、色変化数分布を重みに全冪和を有理式で求める	none	fps/combinatorial.hpp labeled_color_change_counts; fps/rational.hpp weighted_power_sums	C++23 O(N log^2 N+M(N)) FPS product and rational sum	none	同色のみ; 全色相異なる; 色番号の疎性; 0乗を出力しない; ラベル付き順列のcount!係数; N,M=250000	Codex	2026-07-18	reviewed	n<=8で全ラベル順列200 random、重み付き冪和100 random比較、公式sample 3件一致。N=M=250000・二色均等で2.51秒59MB
abc261	g	https://atcoder.jp/contests/abc261/tasks/abc261_g	https://atcoder.jp/contests/abc261/editorial										pending	
abc261	h	https://atcoder.jp/contests/abc261/tasks/abc261_h	https://atcoder.jp/contests/ABC261/editorial/4486	weighted alternating graph game; retrograde analysis; minimizer/maximizer; nontermination	終端から有限局面を逆向きに確定し、最小化手番は最小候補、最大化手番は全遷移確定後の最大候補を採用する	none	game/alternating.hpp alternating_path_game	C++23 O((n+m) log n) time O(n+m) space	none	閉路; 終端; 開始手番; 非負辺重み; 有限性を費用より優先; 64-bit総費用	Codex	2026-07-18	reviewed	500 random小graphで両者の全戦略列挙と全頂点・両手番を比較、公式sample 3件一致。N=200000 chainで0.29秒40MB
abc262	g	https://atcoder.jp/contests/abc262/tasks/abc262_g	https://atcoder.jp/contests/abc262/editorial										pending	
abc262	h	https://atcoder.jp/contests/abc262/tasks/abc262_h	https://atcoder.jp/contests/abc262/editorial/4481	interval maximum constraints; per-position minimum upper bound; last occurrence DP	各位置の上限を被覆制約の最小値にし、同じ上限値の位置ごとに最大値を取る直近位置をDPする	none	dp/intervalmaximum.hpp count_interval_maximum_sequences	C++23 O((n+q) log(n+q)) time O(n+q) space	none	半開区間変換; 同じ最大値の重複制約; 矛盾制約; 制約に覆われない位置; maximum_value<mod	Codex	2026-07-18	reviewed	全列挙5000 random、公式sample 3件一致。N=Q=200000の同一区間制約で0.54秒38MB
abc263	g	https://atcoder.jp/contests/abc263/tasks/abc263_g	https://atcoder.jp/contests/abc263/editorial										pending	
abc263	h	https://atcoder.jp/contests/abc263/tasks/abc263_h	https://atcoder.jp/contests/abc263/editorial/4547	line-circle chord; alternating interval endpoints; Fenwick Tree; parametric search	半径rの円内交点数を弦端点の交互区間対数へ変換し、距離を二分探索する	none	algorithm/intervalcrossing.hpp count_alternating_interval_pairs; geometry/line.hpp kth_line_intersection_distance	C++23 O(P n log n) time O(n) space	none	open円と境界; 同一点で交わる複数直線; 同じ円周端点; tangent; 非平行条件; 上界; long double精度	Codex	2026-07-18	reviewed	交互区間10000 random、n<=19の全交点比較3000件、公式sample 2件一致。N=50000,50反復,既知上界で2.19秒18MB
abc264	g	https://atcoder.jp/contests/abc264/tasks/abc264_g	https://atcoder.jp/contests/abc264/editorial										pending	
abc264	h	https://atcoder.jp/contests/abc264/tasks/abc264_h	https://atcoder.jp/contests/abc264/editorial/4593	incremental rooted-tree DP; perfect r-ary induced subtree; elementary symmetric polynomial	子の同じ高さのDP値からr次基本対称式を作り、頂点追加時に祖先へ差分伝播する	none	tree/perfectsubtree.hpp perfect_ary_subtree_prefix_counts	C++23 O(n r^2 log_r n) time O(n r log_r n) space	none	parent-before-child順; 高さ上限; 根だけの木; 子の順序を区別しない; 同じ子を二度選ばない; mod上の差分0	Codex	2026-07-18	reviewed	n<=12でarity 2,3を全subset比較3000木、公式sample 4件一致。N=300000のstar 0.16秒88MB、chain 0.15秒88MB
abc265	g	https://atcoder.jp/contests/abc265/tasks/abc265_g	https://atcoder.jp/contests/abc265/editorial										pending	
abc265	h	https://atcoder.jp/contests/abc265/tasks/abc265_h	https://atcoder.jp/contests/abc265/editorial/4577	Walsh-Hadamard変換; XOR畳み込み; 通常和×XOR二次元畳み込み	一行の(s,g)分布をH乗し、sum sとxor gの同時分布から勝ち局面を数える	各行gameの超現実数成分とGrundy数への分解	math/subsettransform.hpp xor_convolution; math/multiconvolution.hpp sum_xor_convolution_power	C++23 O(KL(log L+log K+log H))	none	負のsのoffset; H倍後のzero位置; XOR長は2冪; NTT長; exponent=0; 先手勝ちはS>0またはS=0かつG>0	Codex	2026-07-18	reviewed	二次元畳み込みを3000 randomで愚直比較、XOR畳み込みを各bit長で比較、公式sample 3件一致。H=8000,W=30で3.98秒142MB
abc266	g	https://atcoder.jp/contests/abc266/tasks/abc266_g	https://atcoder.jp/contests/abc266/editorial										pending	
abc266	h	https://atcoder.jp/contests/abc266/tasks/abc266_h	https://atcoder.jp/contests/abc266/editorial/4664	三次元dominance DP; 疎二次元Fenwick Tree; chain復元	(t,x,y)を(t-x-y,t+x-y,y)へ変換し、座標非減少の最大重みchainを求める	none	algorithm/dominance.hpp maximum_weight_dominance_chain_3d; structure/fenwicktree.hpp fenwicktree2d	C++23 O(n log^2 n) time O(n log n) space	none	始点から到達不能な点; 座標の等号; 同一座標; 64-bit重み和; 復元; 疎座標登録	Codex	2026-07-18	reviewed	n<=14の相異なるランダム三次元点5000件を全subset比較、疎二次元Fenwickを1000件差分比較、公式sample 3件一致。N=100000で0.35秒41MB
abc267	g	https://atcoder.jp/contests/abc267/tasks/abc267_g	https://atcoder.jp/contests/abc267/editorial										pending	
abc267	h	https://atcoder.jp/contests/abc267/tasks/abc267_h	https://atcoder.jp/contests/abc267/editorial/4737	選択個数の偶奇; 符号付き母関数; 多項式積	同値な値をまとめ、prod(1+x^A)とprod(1-x^A)の係数の半和・半差を取る	none	dp/subsetsumcount.hpp subset_sum_parity_counts	C++23 O(n + M(T) log d)	none	値0; limitより大きい値; 空積; 2の逆元; limit+1<mod; 多項式積の打ち切り	Codex	2026-07-18	reviewed	長さ14以下5000件を全subset比較、公式sample 2件一致。N=100000,M=1000000,値1..10均等で1.55秒27MB
abc268	g	https://atcoder.jp/contests/abc268/tasks/abc268_g	https://atcoder.jp/contests/abc268/editorial										pending	
abc268	h	https://atcoder.jp/contests/abc268/tasks/abc268_h	https://atcoder.jp/contests/abc268/editorial/4976	Aho-Corasick; shortest suffix pattern; interval stabbing; right-endpoint greedy	全pattern出現区間を刺す最小文字位置を、最短suffix一致時に現在位置を選んで求める	none	string/trie.hpp ahocorasick::shortest_match_length; string/avoid.hpp minimum_pattern_replacements	C++23 O((L+M) log sigma+states sigma) dense automaton transitions	none	大量の重複出現; patternが別patternのsuffix; 長さ1; 一致後のstate reset; alphabet外文字; 50万状態の遷移表	Codex	2026-07-18	reviewed	長さ12以下5000件を全置換subset比較、既存Aho property、公式sample 3件一致。50万状態・26文字で0.63秒134MB、深さ50万で0.38秒96MB
abc269	g	https://atcoder.jp/contests/abc269/tasks/abc269_g	https://atcoder.jp/contests/abc269/editorial										pending	
abc269	h	https://atcoder.jp/contests/abc269/tasks/abc269_h	https://atcoder.jp/contests/abc269/editorial/4838	rooted-tree antichain generating function; Static Top Tree; polynomial affine composition; NTT	F_v(x)=x+prod_child F_child(x)を平衡cluster merge木上で計算する	none	tree/antichain.hpp tree_antichain_counts; tree/statictoptree.hpp statictoptree; fps/fps.hpp	C++23 O(M(N) log N) polynomial tree DP	none	空集合係数; 根による祖先関係; chain・star・centipede; 空積; 多項式の末尾0; NTT長	Codex	2026-07-18	reviewed	n<=12全subsetをランダム根込み3000木で比較、公式sample 4件一致。N=200000でchain 0.36秒77MB、star 0.85秒112MB、centipede 0.97秒89MB
abc270	g	https://atcoder.jp/contests/abc270/tasks/abc270_g	https://atcoder.jp/contests/abc270/editorial										pending	
abc270	h	https://atcoder.jp/contests/abc270/tasks/abc270_h	https://atcoder.jp/contests/abc270/editorial/4892	repeated affine recurrence over huge integer intervals; modular power		state=max_i(A_i-C_i)と期待値差y_k=x_Amax-x_kによる後ろ向き漸化式	math/modint.hpp staticmodint::pow	C++23 O(N log A_N) suffix expectation recurrence	none	同値A; gap=0; rとN-rの逆元; A_N=1e18; 期待値差の符号	Codex	2026-07-18	reviewed	圧縮後はpowとsuffix和の短い問題固有式。専用APIは探索・仕様確認の方が遅いため追加せず、ライブラリを実質使わないverifyも省略
abc271	g	https://atcoder.jp/contests/abc271/tasks/abc271_g	https://atcoder.jp/contests/abc271/editorial										pending	
abc271	h	https://atcoder.jp/contests/abc271/tasks/abc271_h	https://atcoder.jp/contests/abc271/editorial/4945	2D lattice moves; nonnegative Diophantine equation; at-most-two move kinds; compass directions	許可した8近傍方向の最適解を二方向、または直交一回と斜め二方向へ絞って定数時間で求める	none	geometry/latticemove.hpp minimum_lattice_moves minimum_two_kind_lattice_moves; recipe/compassmove.hpp compassmoves	C++23 O(k^2) two-kind solver and O(1) compass distance	none	方向文字列の順序; 到達不能; 原点; 逆方向だけ; 同一直線・零ベクトル; 行列式overflow	Codex	2026-07-18	reviewed	全小整数ベクトル対を係数列挙と比較、256 maskをBFS比較、公式sample一致
abc272	g	https://atcoder.jp/contests/abc272/tasks/abc272_g	https://atcoder.jp/contests/abc272/editorial										pending	
abc272	h	https://atcoder.jp/contests/abc272/tasks/abc272_h	https://atcoder.jp/contests/abc272/editorial/4983	Hakone Ekiden DP; permutation threshold distribution; polynomial from roots; multipoint evaluation; binomial inversion	順列の位置別下限を満たす個数分布を、一次因子積の0..N多点評価と上側二項反転で求める	コイン回転対称性と偶数回flipの期待値	dp/permutationthreshold.hpp permutation_threshold_counts; fps/polynomial.hpp polynomial_from_roots	C++23 O(M(N) log^2 N) polynomial product and multipoint evaluation	none	0-index閾値; threshold=N; 重複閾値; N=1; 偶奇; factorial除算; NTT長	Codex	2026-07-18	reviewed	n<=8全順列比較、公式sample 2件一致。最大N=200000で6.26秒・56MB
abc273	g	https://atcoder.jp/contests/abc273/tasks/abc273_g	https://atcoder.jp/contests/abc273/editorial										pending	
abc273	h	https://atcoder.jp/contests/abc273/tasks/abc273_h	https://atcoder.jp/contests/abc273/editorial/5051	Stern-Brocot tree; run-length path; virtual tree; subarray root-path union; small-to-large	既約分数への巨大深さpathをEuclid商で圧縮し、仮想木の各部分木を含む部分列数から操作和を数える	none	math/sternbrocot.hpp stern_brocot_virtual_tree; tree/subarrayunion.hpp sum_subarray_root_path_unions	C++23 O(N log^2 N+N log V) compressed virtual tree and set merge	none	非既約点での分割; 0/1と1/0; 深さ1e9; 分数比較overflow; pathがprefix; 同一LCP深さ; 64-bit重み	Codex	2026-07-18	reviewed	path到達、1000仮想木LCA、5000根path和集合を愚直比較、公式sample一致。深さ約1e9の10万chainで0.27秒・47MB
abc274	g	https://atcoder.jp/contests/abc274/tasks/abc274_g	https://atcoder.jp/contests/abc274/editorial										pending	
abc274	h	https://atcoder.jp/contests/abc274/tasks/abc274_h	https://atcoder.jp/contests/abc274/editorial/5106	nimber field; Nim product; XOR-linear rolling hash; LCP by binary search	XORを加法とするnimber体上で部分列hashを構築し、二部分列の要素別XORと対象列のLCPを求める	none	math/nimber.hpp nim_product; string/xorrollinghash.hpp xorrollinghash	C++23 O(M(N+Q log N)) randomized nimber hashing	hash衝突の確率は非零	実行時基数乱択; 64-bit値; 長さの異なる比較; targetが先に終わる; XOR列が先に終わる; Nim積table初期化	Codex	2026-07-18	reviewed	mex定義32未満、64-bit代数10000件、hash/LCP愚直比較、公式sample 1一致
abc275	g	https://atcoder.jp/contests/abc275/tasks/abc275_g	https://atcoder.jp/contests/abc275/editorial										pending	
